№,Область/город/район/сельский округ/село,Наименование организации,"Балансодержатель автомобиля (балансодержатель/
фактический пользователь/
форма владения:
баланс,
аренда,
лизинг,
доверительное управление)","Правоустанавливающие документы №/дата
(приказы закрепления, 
акты приема-передачи,
договоры, технический паспорт ТС аренды/лизинга)",Фактический пользователь,"По использованию
(закрепленное должностное лицо/
наличие водителя) Ф.И.О. и должность",Имеется ли приказ закрепления №/дата,Марка/модель/ год выпуска,ГРНЗГосударственныйрегистрационныйномернойзнак,Примечание
21,Ащыбулакский сельский округ,"ГУ ""Аппарат акима Ащыбулакского сельского округа""","ГУ ""Аппарат акима Ащыбулакского сельского округа""",Технический паспорт,"ГУ ""Аппарат акима Ащыбулакского сельского округа""",Аким округа/ вакант,№466 10.11.2022,"Chevrolet cobalt, 2022 г.",990ZC05,
22,Сельский округ Өтеген батыр,"ГУ ""Аппарат акима сельского округа Өтеген батыр""","ГУ ""Аппарат акима сельского округа Өтеген батыр""",Технический паспорт,"ГУ ""Аппарат акима сельского округа Өтеген батыр""",Аким округа/Аубакиров Е.З (водитель),№64-ө н/қ  15.04.2025,"Hyundai Elantra, 2024г.",611BH05,
23,Сельский округ Асқар тоқпанов,"ГУ ""Аппарат акима сельского округа Асқар Тоқпанов""","ГУ ""Аппарат акима сельского округа Асқар Тоқпанов""",Технический паспорт,"ГУ ""Аппарат акима сельского округа Асқар Тоқпанов""",Аким округа/Тілеген Д.Е (водитель),"Распоряжение № 5, от 05.01.2021 г.","KIA CERATO, 2017 г.",055JB05,
24,Илийский район,ГККП Районный дом культуры Акима Илийского района,ГККП Районный дом культуры Акима Илийского района,Технический паспорт,ГККП Районный дом культуры Акима Илийского района,Директор/ Исатаев Е.Б  (водитель),"Доверенность №4, 13.01.2026",JAC S3PRO (VIN) 2025 Г/В,971АV05,
25,Илийский район,"Филиал №1 ""Дом культуры с.Акши"" ГККП ""Районный дом культуры Акима Илийского района""","Филиал №1 ""Дом культуры с.Акши"" ГККП ""Районный дом культуры Акима Илийского района""",Технический паспорт,"Филиал №1 ""Дом культуры с.Акши"" ГККП ""Районный дом культуры Акима Илийского района""",Директор/Алипбаев Д.К (водитель),Договор  мат. отв,ГАЗ 322132-288  2020 Г/В,393ZF05,
26,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,КАМАЗ 65116-6010-48,401ZA05,
27,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 330900-1377,283YK05,
28,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,КАМАЗ 53605 КО-829D1,749AZ05,
29,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,КАМАЗ 45143-012-15,185AS05,
30,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 330900-1377,102YD05,
31,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Беларус 821 Трактор,B651BCD,
32,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,КАМАЗ 45143-012-15,730AZ05,
33,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,GR 180 Автогрейдер,AUD280B,
34,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,GR 180 Автогрейдер,AUD281B,
35,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Mitsubishi Canter,745AS05,
36,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Амкадор 332B,B457AKD,
37,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Беларус 82-1,B652BCD,
38,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,JC 45 Мини Погрузчик,ASD241B,
39,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,"Toyota AVENSIS 1,8 MT",720AY05,
40,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Экскаватор погрузчик CASE 570ST,B565BAD,
41,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Беларус 320.4 Трактор колесный,B653BCD,
42,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Беларус 320.4 Трактор колесный,B654BCD,
43,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,"ЭО-2626 Экскаватор погрузчик МТЗ 82,2",B190AAB,
44,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Chevrolet Aveo,255ZB05,
45,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Daewoo Matiz,736AZ05,
46,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,KIA Cerato,754AU05,
47,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,KIA Cerato,441AI05,
48,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3309,738AZ05,
49,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,УАЗ 390945,340ZB05,
50,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ-33098,423ZA05,
51,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Беларус 82.1 Трактор колесный,B496BFD,
52,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,УАЗ 39094,740AZ05,
53,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Экскаватор погрузчик SAM 588,APD977B,
54,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 33023,732AZ05,
55,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,Кран Кс-45719-5а,746AZ05,
56,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3309,705AS05,
57,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3309,764AU05,
58,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3302-244,178AS05,
59,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3309,731AZ05,
60,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,УАЗ 39094,735AZ05,
61,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,КС 45729А-0-01,729AZ05,
62,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ЭО-2621 Экскаватор колесный,B497BFD,
63,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3309,748AZ05,
64,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3309,734AZ05,
65,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3309,733AZ05,
66,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3302-244,187AS05,
67,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,ГАЗ 3102121,195AS05,
68,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,DONGFENG D6,390BI05,
69,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,SD46 B877F Экскаватор поргузчик,AUE244B,
70,Илийский район,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района","ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Технический паспорт,"ГКП на ПХВ ""Іле Су"" ГУ Аппарата Акима Илийского района",Директор/Тажинов Б.А (механик),Договор  мат. отв,SD46 B877F Экскаватор поргузчик,AUE245B,
Карасайский район,,,,,,,,,,
1,Алматинская область Карасайский район,"ГУ ""Аппарат Акима Карасайского района""","ГУ ""Аппарат Акима Карасайского района""",постановление о передаче №43 от 28.02.2022 тех паспорт №АР99864555,ГУ Аппарат Акима Карасайского района,заместитель акима Сейдакматов А.Ж/ водитель Байдали Алмат,14.01.2025 б/н,Chevrolet Malibu - 2021г,909AX05,
2,Алматинская область Карасайский район,"ГУ ""Аппарат Акима Карасайского района""","ГУ ""Аппарат Акима Карасайского района""",Договор купли-продажи №960540000422/210109/00 ОТ 24.11.2021 тех паспорт №АР00059560,ГУ Аппарат Акима Карасайского района,аким района Естенов Ж.Т./ водитель Турсунов Ернат,24.08.2023 б/н,Hyundai Elantra-2021,777WW05,
3,Алматинская область Карасайский район,"ГУ ""Аппарат Акима Карасайского района""","ГУ ""Аппарат Акима Карасайского района""",Договор купли-продажи №960540000422/260056/00 от 06.02.2026г тех паспорт №АР99858088,ГУ Аппарат Акима Карасайского района,заместитель акима Толепберген Н.А. / водитель Орынтаев Серик,10.04.2025 б/н,Hyundai Tucson -2025,146BG05,"На данный момент заместитель акима особожден от должности, машина на стоянке"
4,Алматинская область Карасайский район,"ГУ ""Аппарат Акима Карасайского района""","ГУ ""Аппарат Акима Карасайского района""",Договор купли-продажи №960540000422/260055/00 О Т 04.02.2026 тех паспорт,ГУ Аппарат Акима Карасайского района,руководитель аппарата Мантаев Д.Е./водитель не имеется,08.10.2025 б/н,Hyundai Elantra-2026,187BG05,
5,Алматинская область Карасайский район,"ГУ ""Аппарат Акима Карасайского района""","ГУ ""Аппарат Акима Карасайского района""",постановление о передаче №518 от 03.11.2025 тех паспорт ИЗЬЯТ,ГУ Аппарат Акима Карасайского района,,,Skoda Super B8-2019,777VV05,"Автомобиль после ДТП, на стоянке"
6,Алматинская область Карасайский район,"ГУ ""Аппарат Акима Карасайского района""","ГУ ""Аппарат Акима Карасайского района""",Постановление о передаче №265 от 02.08.2023г тех паспорт №АР00076010,ГУ Аппарат Акима Карасайского района,заместитель акима Ақылбек Б.А./водитель Тұрсынқожа Айдос,06.08.2024 б/н,Chevrolet Malibu - 2023г,037ZZ05,0
7,Алматинская область Карасайский район,"ГУ ""Аппарат Акима Карасайского района""","ГУ ""Аппарат Акима Карасайского района""",Договор купли-продажи №960540000422/260081/00 от 23.02.26г  тех паспорт №АР99857354,ГУ Аппарат Акима Карасайского района,аким района Естенов Ж.Т./ водитель Турсунов Ернат,24.08.2023 б/н,Tank 500 -2025,555VV05,0
8,"Алматинская область, Карасайский район, город Каскелен","ГУ ""Отдел сельского хозяйства Карасайского района""","ГУ ""Отдел сельского хозяйства Карасайского района""/на балансе",На основании акта приёма-передачи от 01.04.2024 г. Номер техпаспорта №ВВ99998163,"ГУ ""Отдел сельского хозяйства Карасайского района""","Жаркымбаев С.А.      -руководитель отдела,                                   Д.К. Жунисов -водитель отдела",Приказ 12 н-қ от 27.11.2024г,Hyundai Elantra,118BC05,
9,"Алматинская область, Карасайский район, город Каскелен","ГУ «Отдел культуры, развития языков физической культуры и спорта Карасайского района»","ГУ «Отдел культуры, развития языков физической культуры и спорта Карасайского района»",Тех паспорт №AP99999062,"ГУ «Отдел культуры, развития языков физической культуры и спорта Карасайского района»",руководитель отдела Дүйсенова Г.А./Водитель Бояубаев А.Е.,№12 от 01.10.2025г,KIA OPTIMA 2023,695AJ05,
10,"Алматинская область, Карасайский район, город Каскелен",ГУ Отдел строительства Карасайского района,ГУ Отдел строительства Карасайского района,Постановление акимата Карасайского района №486 от 22.11.2021г,ГУ Отдел строительства Карасайского района,Руководитель отдела Машрап Б./ водитель Жарылқасын Құрманәлі Сәкенұлы,№14 от 04.05.2026,KIA Serato 2012г.,446ST05,
11,"Алматинская область, Карасайский район, город Каскелен",ГУ Отдел архитектуры и градостроительства Карасайского района,ГУ Отдел архитектуры и градостроительства Карасайского района,Постановление акимата Карасайского района №520 от 07.11.2025г,ГУ Отдел архитектуры и градостроительства Карасайского района,Руководитель отдела Бейсембек Д.Е.,не имеется приказ,KIA Optima 2012г,276BG05,водитель и иные расходы по бюджету непредусмотрено
12,"Алматинская область, Карасайский район, город Каскелен",ГУ Отдел земельных отношений Карасайского района,ГУ Отдел земельных отношений Карасайского района. Форма владения: на балансе отдела,Постановление Акима №121 от 01.04.2026г. Акт-приема передачи от 03.04.2026г.,ГУ Отдел земельных отношений Карасайского района. Руководитель отдела,Мукатаев Елдос Мукатаевич. Руководитель отдела / водитель Жумадилова Г.Г.,не имеется приказ,SKODA Kodiaq. 2018г.в,889BM05,
13,"Алматинская область, Карасайский район, город Каскелен","ГУ ""Отдел жилищно-коммунального хозяйства и жилищной инспекции Карасайского района""","ГУ ""Отдел жилищно-коммунального хозяйства и жилищной инспекции Карасайского района""",Постановление акима Карасайского района №114   дата 30 марта 2026год Акты приема-передачи,"ГУ ""Отдел жилищно-коммунального хозяйства и жилищной инспекции Карасайского района""",Водитель Каратаев  Айбол Қуатұлы,Не имеется,HYUNDAI ELFNTRA  год выпуска 2020г,880AV05,нет
14,Алматинская область Карасайский район г.Каскелен,ГУ Отдел  Пассажирского транспорта и автомобильных дорог Карасайского района,ГУ Отдел  Пассажирского транспорта и автомобильных дорог Карасайского района,"Договор купли продажи  № 231040018983/260023/00 от 18.03.26г.от ТОО «Hyundai Trans Kazakhstan»"" Технический паспорт АР99856441",ГУ Отдел  Пассажирского транспорта и автомобильных дорог Карасайского района,руководитель отдела Шакиров Ж.Е./Водитель Кошмаганбетов Б.С,8/1 н.қ от 08.04.26г,Hyndai Tucson  год выпуска 2025г,605ВМ05,
15,"Алматинская область, Карасайский район","КГУ ""Центр поддержки семьи "" ГУ ""Отдел занятности и социальных програм Карасайского района""","КГУ ""Центр поддержки семьи "" ГУ ""Отдел занятности и социальных програм Карасайского района""",Акт приема передачи  от  29 ноября   на основании  государственных закупкам товаров № 64 от 19.10.2023г,"КГУ ""Центр поддержки семьи "" ГУ ""Отдел занятности и социальных програм Карасайского района""","директор Константинова Е.В./Каримов Газиз Акимжанович по совместительству на 0,5 ставку",24 от 01/04/2025,Chevrolet Onyx 4 LT AT (LTZ),639AJ05,
16,"Алматинская область, Карасайский район, село Шамалган","ГККП ""Фольклорно- этнографический ансамбль ""Ушконыр"" акимата Карасайского района ГУ ""Отдел культуры, развития языков, физической культуры и спорта Карасайского района""","ГККП ""Фольклорно- этнографический ансамбль ""Ушконыр"" акимата Карасайского района ГУ ""Отдел культуры, развития языков, физической культуры и спорта Карасайского района""",Акт приема передачи от 23.06.2025 года тех паспорт AR99883735,"ГККП ""Фольклорно- этнографический ансамбль ""Ушконыр"" акимата Карасайского района ГУ ""Отдел культуры, развития языков, физической культуры и спорта Карасайского района""",Директор Назарбаева Д.К./ руководитель  Айтмухаметов Болатхан,Приказ №4нқ 10.07.2025г,JAC S3 PRO,432BH05,
17,Карасайский район г.Каскелен,КГКП Районный дом культуры Каскелен,КГКП Районный дом культуры Каскелен - баланс,ТС BB №70013278,КГКП Районный дом культуры Каскелен - баланс,директор Булекбаева А.Б./Бауржанов Ринат - водитель,не имеется приказ,"Lada Ks035la185 , год выпуска 2016.",707AR05,
18,Карасайский район г.Каскелен,КГКП Районный дом культуры Каскелен,КГКП Районный дом культуры Каскелен - баланс,ТС VL02819104,КГКП Районный дом культуры Каскелен - баланс,директор Булекбаева А.Б./Бауржанов Ринат - водитель,не имеется приказ,"Газ 32232-288, год выпуска 2010№",012ZB05,
19,Карасайский район г.Каскелен,КГКП Районный дом культуры Каскелен,КГКП Районный дом культуры Каскелен - баланс,ТС VL02373351,КГКП Районный дом культуры Каскелен - баланс,директор Булекбаева А.Б./Бауржанов Ринат - водитель,не имеется приказ,"SAZ HD 50, год выпуска 2018",017ZB05,для развозки артистов
20,"Алматинская область Карасайский район, г.Каскелен",ГУ Отдел занятости и социальных програм Карасайского района,ГУ Отдел занятости и социальных программ Карасайского район на балансе,BW №00005175 технический паспорт,ГУ Отдел занятости и социальных программ Карасайского района,Руководитель Кыйлыбаева А.Ж. / водитель Калмурзаев С.К.,приказ №43 от 01.06.22г.,автомобиль Skoda Octavia,433VV05,
21,"Алматинская область Карасайский район, г.Каскелен",ГУ Отдел занятости и социальных програм Карасайского района,ГУ Отдел занятости и социальных программ Карасайского района на балансе,BW №00004134 технический паспорт,ГУ Отдел занятости и социальных программ Карасайского района,Руководитель Кыйлыбаева А.Ж. / водитель Тасыров Е.,приказ №116 от 02.09.25г.,автомобиль Lada 21214,441VV05,
22,"Алматинская область Карасайский район, г.Каскелен",ГУ Отдел занятости и социальных програм Карасайского района,ГУ Отдел занятости и социальных программ Карасайского района в аренде,BW №00005709 технический паспорт,"КФ ""Аулие Шока""Общественного объединения""Уйгурское районное общество инвалидов""",Руководитель Кыйлыбаева А.Ж. / водитель Ельчибеков Ю.С,приказ №12 от 06.05.25г.,инватакси SOLIFER SB LF,437VV05,Автомобиль передан в аренду для перевозки инвалидов
23,"Алматинская область Карасайский район, г.Каскелен",ГУ Отдел занятости и социальных програм Карасайского района,ГУ Отдел занятости и социальных программ Карасайского района в аренде,BB №70014275 технический паспорт,"КФ ""Аулие Шока""Общественного объединения""Уйгурское районное общество инвалидов""",Руководитель Кыйлыбаева А.Ж. / водитель Балгабаев А.С.,приказ №5 от 22.01.26г.,инватакси ГАЗ 1992DW/GAZ 1992DW,314AS05,Автомобиль передан в аренду для перевозки инвалидов
24,Алматинская область Карасайский район г.Каскелен,"КГП ""Таусамалы Кызмет"" на ПХВ Акимата Карасайского района",Хозяйственное ведение  Принято из коммунальной собственности,AP00073784,Айтжанов Қаныбек Құлжабайұлы,Айтжанов Қаныбек Құлжабайұлы партия «AMANAT»,,Хюндай элантра 2021г,441AJ05,
